titulo,link
Fab Lab: um laboratório completo para quem quer colocar as ideias em prática,https://www.youtube.com/watch?v=IYJKM3ie9sE
Você ainda vai ser um Maker | Heloísa Neves | TEDxIbmec,https://www.youtube.com/watch?v=jM5H9ezIIgs
Neil Gershenfeld: The beckoning promise of personal fabrication,https://www.youtube.com/watch?v=5n-APFrlXDs
A cultura maker nos novos modelos de partilha e inclusão social | António Fernandes | TEDxLisboa,https://www.youtube.com/watch?v=73DyBKxJj-I
Mão biônica do Ítalo no Garagem Fab Lab,https://www.youtube.com/watch?v=ssIg-9TxOBQ
TEDxPUCGoiás - Renata Lemos - Design Thinking,https://www.youtube.com/watch?v=o2S2MdAVB4I
02 - O que é um MakerSpace ou um Fab Lab?,https://www.youtube.com/watch?v=NQ7XRPXnJe4
FabLab Tornando seu Projeto Realidade (MakerSpace) - Heloísa Gimenes | Sem Igual,https://www.youtube.com/watch?v=G5LXZ5D43o0
#ComoFunciona? EP1 – Impressora 3D | FAB LAB LIVRE SP,https://www.youtube.com/watch?v=ScrAI6mgD7k
What is a Fab Lab in 3 words? 10 years later!,https://www.youtube.com/watch?v=VKDEvtdW9TU&t=1s
#ComoFunciona? EP5 – Fresadora CNC,https://www.youtube.com/watch?v=MZ0yHvlUtf8
Fab Lab House,https://www.youtube.com/watch?v=bO-Dvm5OTuU
